model,prompt_strategy,combination,avg_fk_score,avg_accuracy,avg_stakeholder,readability_score,clarity_target_pct,accuracy_target_pct,stakeholder_target_pct,overall_target_pct
claude_sonnet,general,claude_sonnet_general,22.502906296511227,4.333333333333333,3.111111111111111,4.497093703488773,0.0,100.0,0.0,33.333333333333336
claude_sonnet,role_based,claude_sonnet_role_based,18.862690398653502,4.333333333333333,4.111111111111111,8.137309601346498,0.0,100.0,100.0,66.66666666666667
claude_sonnet,few_shot,claude_sonnet_few_shot,13.169333333333336,4.666666666666667,3.6666666666666665,13.830666666666664,66.66666666666666,100.0,0.0,55.55555555555555
claude_sonnet,chain_of_thought,claude_sonnet_chain_of_thought,14.523972283038214,4.333333333333333,3.3333333333333335,12.476027716961786,66.66666666666666,66.66666666666666,0.0,44.444444444444436
nova_pro,general,nova_pro_general,14.124613121552777,5.0,3.3333333333333335,12.875386878447223,66.66666666666666,100.0,33.33333333333333,66.66666666666667
nova_pro,role_based,nova_pro_role_based,15.402107981443232,4.333333333333333,3.7777777777777772,11.597892018556768,66.66666666666666,100.0,33.33333333333333,66.66666666666667
nova_pro,few_shot,nova_pro_few_shot,13.865524972918232,4.666666666666667,3.888888888888889,13.134475027081768,66.66666666666666,100.0,66.66666666666666,77.77777777777777
nova_pro,chain_of_thought,nova_pro_chain_of_thought,14.01096667591682,4.666666666666667,3.2222222222222228,12.98903332408318,100.0,100.0,0.0,66.66666666666667
llama_3b,general,llama_3b_general,17.35598270591684,4.0,3.111111111111111,9.64401729408316,33.33333333333333,66.66666666666666,0.0,33.33333333333333
llama_3b,role_based,llama_3b_role_based,16.752175950400922,3.0,3.7777777777777772,10.247824049599078,66.66666666666666,33.33333333333333,33.33333333333333,44.444444444444436
llama_3b,few_shot,llama_3b_few_shot,16.98681869541173,4.0,3.777777777777778,10.013181304588269,33.33333333333333,66.66666666666666,66.66666666666666,55.55555555555554
llama_3b,chain_of_thought,llama_3b_chain_of_thought,16.766573001188217,3.6666666666666665,4.0,10.233426998811783,0.0,66.66666666666666,100.0,55.55555555555555
